dobih_number,os_id,dobih_name,os_name
1,osgb4000000074603656,Ben Chonzie,Ben Chonzie
2,osgb4000000074607451,Creagan na Beinne,Creagan na Beinne
3,osgb4000000074607448,Creag Uchdag,Creag Uchdag
4,osgb4000000074603236,Auchnafree Hill,Auchnafree Hill
5,osgb4000000074607450,Shee of Ardtalnaig [Ciste Buide a' Claidheimh],Shee of Ardtalnaig
6,osgb4000000074591964,Beinn na Gainimh,Beinn na Gainimh
7,osgb4000000074608301,Meall Buidhe,Meall Buidhe
8,osgb4000000074623475,Creag Ruadh,Creag Ruadh
9,osgb4000000074604921,Meall Dearg,Meall Dearg
10,osgb4000000074623474,Creag Each,Creag Each
11,osgb4000000074607874,Creag Gharbh,Creag Gharbh
12,osgb4000000074602382,Meall nan Caorach,Meall nan Caorach
13,osgb4000000074717157,Meall Reamhar,Meall Reamhar
14,osgb4000000074608711,Creag na Criche,Creag na Criche
15,osgb4000000074613387,Birnam Hill - King's Seat,Birnam Hill
16,osgb4000000074603651,Knock of Crieff,Knock of Crieff
17,osgb4000000074606600,Ben Vorlich,Ben Vorlich
18,osgb4000000074607023,Stuc a' Chroin,Stùc a' Chroin
19,osgb4000000074607022,Beinn Each,Beinn Each
20,osgb4000000074605758,Meall na Fearna,Meall na Fearna
21,osgb4000000074606176,Beinn Dearg,Beinn Dearg
22,osgb4000000074607441,Sgiath a' Chaise,Sgiath a' Chàise
23,osgb4000000074606177,Mor Bheinn,Mòr Bheinn
24,osgb4000000074603653,Ben Clach,Ben Clach
25,osgb4000000074586337,Torlum,Torlum
26,osgb4000000074623679,Ben More,Ben More
27,osgb4000000074608309,Stob Binnein,Stob Binnein
28,osgb4000000074607882,Stob Coire an Lochain,Stob Coire an Lochain
29,osgb4000000074623578,Cruach Ardrain SW Top,Cruach Ardrain
30,osgb4000000074623578,Cruach Ardrain,Cruach Ardrain
31,osgb4000000074607884,An Caisteal,An Caisteal
32,osgb4000000074605341,Ben Lomond,Ben Lomond
33,osgb4000000074623576,Meall na Dige,Meall na Dìge
34,osgb4000000074608310,Stob Garbh,Stob Garbh
35,osgb4000000074607883,Beinn Tulaichean,Beinn Tulaichean
38,osgb4000000074608729,Beinn Chabhair,Beinn Chabhair
39,osgb4000000074607881,Creag a' Bhragit,Creag a' Bhragit
41,osgb4000000074607880,Stob Creagach,Stob Creagach
42,osgb4000000074604911,Ben Ledi,Ben Ledi
43,osgb4000000074607455,Stob a' Choin,Stob a' Choin
